id,category,mood_state,sleep_state,restart_state,negative_ja,positive_ja,episode_ja,negative_en,positive_en,episode_en
103,anxiety,mid,low,any,眠れないあとの不安は広がりやすいことがあります。,そんな日は考える範囲を少し狭くするだけでも楽になることがあります。,今日は目の前に戻れたら十分です。,Worry after poor sleep can spread quickly.,On those days narrowing the frame can help.,If you can return to what is in front of you today that is enough.
104,rest,any,low,any,寝不足の日にもその日の過ごし方があります。,整わないままでも過ごせたならそれにも意味があります。,今日は無理の少ない形で終えられたら十分です。,Even a tired day has its own way to be lived.,If you get through it while still feeling unsteady that still matters.,It is enough if today ends in a gentler shape.
105,self_blame,low,any,any,気持ちが沈む日は自分の足りなさばかり見えやすくなります。,でもその見え方は今のつらさに強く引っぱられていることがあります。,今日は評価を急がず少し楽な見方を選べたら十分です。,On low days your flaws may seem louder than everything else.,That view may be shaped by the weight you feel right now.,Today it is enough to delay judgment and choose one gentler view.
106,low_confidence,low,any,any,元気がない日は自分の力まで小さく感じることがあります。,それでも力そのものが消えたわけではありません。,今日は無理の少ない一歩があれば十分です。,When your mood is low your strength can feel small too.,Even so your strength itself has not disappeared.,One gentle step is enough today.
107,anxiety,low,any,any,沈んだ日はこの先もずっと同じように思えてしまうことがあります。,けれど気持ちは少しずつ動くこともあります。,今日は先を決めつけず静かに過ごせたら十分です。,On low days it can seem like this feeling will last forever.,But feelings can shift little by little.,It is enough to move quietly through today.
108,self_blame,low,any,any,つらい日は自分にだけ強い言葉を向けやすくなります。,そんな日は言葉の強さを少し下げるだけでも意味があります。,今日は責めすぎない一日にできたら十分です。,Hard days can make your inner voice especially sharp.,Softening that voice even a little already matters.,It is enough if today carries less blame.
109,lonely,low,any,any,気持ちが低い日はひとりの感じが深くなりやすいです。,でもその静けさの中で少し休める瞬間が見つかることもあります。,今日は安心できる時間を少し探せたら十分です。,Low mood can deepen the feeling of being alone.,Even so small moments of ease can still be found in quietness.,It is enough if you find one calm moment today.
110,comparison,low,any,any,落ち込む日は人との差が大きく見えやすくなります。,でも見えているのはその人の一部だけかもしれません。,今日は比べるより少し楽になるほうを選べたら十分です。,On low days the distance between you and others can feel huge.,But what you see may be only one part of their life.,It is enough to choose what eases you today.
111,low_confidence,low,any,any,元気がない日はできたことまで小さく見えやすいです。,それでも小さく見えることと意味がないことは同じではありません。,今日はひとつできたことを残せたら十分です。,When your mood is low even what you did may look small.,But small does not mean meaningless.,It is enough to notice one real thing you did today.
112,anxiety,low,any,any,気分が落ちると未来の不安が広がりやすくなります。,そんな日は未来を全部考えなくて大丈夫です。,今日は今日の終わりまでを静かに過ごせたら十分です。,When your mood drops future worries can spread quickly.,On those days you do not need to think through all of tomorrow.,Getting quietly to the end of today is enough.
113,self_blame,low,any,any,気持ちが低い日は失敗の記憶が強く出やすいです。,でも思い出す強さと事実の重さは同じとは限りません。,今日は過去より今の負担を少し軽くすることを優先して大丈夫です。,Low mood can make old mistakes feel freshly heavy.,But the force of memory is not always the force of reality.,It is okay to focus on easing the present today.
114,rest,low,any,any,落ち込んでいる日は休んでも回復していないように感じることがあります。,それでも休みが無意味というわけではありません。,今日は回復を急がず少し消耗を減らせたら十分です。,On low days rest may not feel effective right away.,Even so that does not mean rest is meaningless.,It is enough if today carries a little less strain.
115,self_blame,low,any,any,つらい日は自分をすぐ結論づけたくなることがあります。,でも気持ちが低いときの見え方をそのまま全部信じなくて大丈夫です。,今日は判断を少し先に延ばせたら十分です。,Hard days can make you want to conclude harsh things about yourself.,You do not have to believe every thought that comes with low mood.,It is enough to delay judgment a little today.
116,low_confidence,low,any,any,沈んだ日は始める前から小さく感じることがあります。,それでも小さいまま始めることにも意味があります。,今日は堂々としていなくてもひとつ動けたら十分です。,Low mood can make you feel small before you begin.,Even so starting while small still matters.,It is enough to move one thing today.
117,lonely,low,any,any,元気がない日は気持ちの置き場が少なく感じることがあります。,そんな日は無理に明るくならなくて大丈夫です。,今日は落ち着ける時間を大事にできたら十分です。,Low mood can make it feel like there is nowhere to place your feelings.,You do not need to force brightness on a day like this.,It is enough to protect a calm stretch of time.
118,comparison,low,any,any,気分が低い日は人の進み方がまぶしく見えやすいです。,でもその速さだけでその人の全部はわかりません。,今日は自分のペースを守れたら十分です。,When mood is low other people can seem painfully bright and fast.,But speed never shows the whole picture.,It is enough to keep your own pace today.
119,anxiety,low,any,any,沈んだ日は心配ごとを広げすぎてしまうことがあります。,そんな日は考える範囲を少し狭くするだけでも楽になることがあります。,今日は目の前のことに戻れたら十分です。,Low mood can make worries spread too far.,On those days narrowing the frame may help.,It is enough to return to what is in front of you today.
120,self_blame,low,any,any,気持ちが低いと自分にやさしい言葉を向けにくくなります。,でも言葉を少し弱めるだけでも負担は変わります。,今日は強い言葉を減らせたら十分です。,When mood is low gentle words can be hard to find for yourself.,Even so lowering the harshness can change the burden.,It is enough if your inner voice becomes a little softer today.
121,rest,low,any,any,落ち込む日は何もしないような時間にも意味があります。,静かな時間が支えになる日もあります。,今日は少し休める時間が持てたら十分です。,On low days still time can still have meaning.,Quiet moments can support you on days like this.,It is enough if you have a little resting time today.
122,low_confidence,low,any,any,元気がない日はできることの幅まで狭く見えることがあります。,でも今日の自分に合う小ささで十分です。,今日は少しでも動けたらそれで大丈夫です。,Low mood can make your range of ability seem narrow.,But a small size that fits today is enough.,If you can move even a little today that is okay.
123,lonely,low,any,any,沈んだ日は静けさが冷たく感じることがあります。,それでもその静けさが少し休める場所になることもあります。,今日は安心できるものをひとつ近くに置けたら十分です。,On low days quiet can feel cold.,Even so quiet can also become a place to rest.,It is enough if you keep one comforting thing near today.
124,comparison,low,any,any,元気がない日は人と比べる目線から離れにくくなります。,でも比べない時間が少しあるだけでも心はゆるみやすくなります。,今日は比べない時間を少し持てたら十分です。,When mood is low comparison can be hard to step away from.,Even a short time without comparison can soften the mind.,It is enough if you have a little of that time today.
125,rest,any,any,any,毎日が同じように見えても心と身体は少しずつ変わっています。,その変化に気づこうとすること自体がやさしい整え方です。,今日は無理の少ない形を選べたら十分です。,Even when days look similar mind and body still change little by little.,Noticing that change is already a gentle form of care.,It is enough to choose the less straining shape today.
126,overthinking,mid,any,any,考えが多い日は動く前から疲れることがあります。,そんな日は全部を整理しようとしなくても大丈夫です。,今日はひとつだけ進めるつもりで十分です。,Busy thoughts can make you tired before you even move.,On those days you do not need to sort everything out.,It is enough to move one thing today.
127,pressure,mid,any,any,やることが多い日は自分の余白がなくなったように感じます。,でも少し余白を残すほうが整いやすい日もあります。,今日は全部を埋めなくて大丈夫です。,When there is too much to do your inner room can disappear.,Some days go better when a little room is left open.,It is okay not to fill everything today.
128,comparison,mid,any,any,人の進み方を見て自分だけ遅れているように感じることがあります。,でも見えている速さだけではその人の全部はわかりません。,今日は自分のペースを守れたら十分です。,Seeing others move can make you feel behind.,But speed alone never shows the whole picture.,It is enough to keep your own pace today.
129,low_confidence,mid,any,any,自信がゆれる日は始める前から小さくなってしまうことがあります。,それでも小さいまま始めることにも意味があります。,今日はひとつ動けたら十分です。,On shaky days you may feel small before you begin.,Even so starting while small still matters.,It is enough to move one thing today.
130,lonely,mid,any,any,静かな日は気持ちの置き場が少なく感じることがあります。,でもその静けさが少し休める場所になることもあります。,今日は落ち着ける時間を大事にして大丈夫です。,Quiet days can make it feel like there is nowhere to place your feelings.,Still quiet can also become a place to rest.,It is okay to protect a calm stretch of time today.
131,anxiety,mid,any,any,不安がある日は先のことを広げすぎることがあります。,そんな日は先を縮めて考えるだけでも少し楽になることがあります。,今日は目の前のひとつに戻れたら十分です。,Anxious days can stretch your thoughts too far ahead.,Bringing the frame closer can make things a little easier.,It is enough to return to one thing in front of you today.
132,rest,any,any,any,うまく進まない日は立ち止まることに迷いが出ることがあります。,でも立ち止まる時間があるから保てる流れもあります。,今日は止まりながら進む形でも大丈夫です。,On difficult days pausing may feel uncertain.,But some rhythms stay steady because pauses are allowed.,It is okay to move with pauses today.
133,overthinking,any,any,any,全部をきちんと考えようとすると心が先に疲れることがあります。,そんな日は答えを急がないことも整え方のひとつです。,今日は決めきれないままでも大丈夫です。,Trying to think through everything can tire the mind first.,On those days not rushing the answer is also a kind of care.,It is okay if today stays a little unresolved.
134,rest,any,any,any,今日は特別なことがなくても静かに過ごせたならそれにも意味があります。,目立たない一日が心と身体を支えることもあります。,大きな変化がなくても今日は今日のままで十分です。,Even if nothing special happens a quiet day still has meaning.,Unremarkable days can support both mind and body.,Today can be enough as it is.
135,pressure,mid,any,any,やることが多い日は呼吸まで浅くなったように感じることがあります。,そんな日は少し余白を残すほうが整いやすいことがあります。,今日は少し軽く終えられたら十分です。,Busy days can make even your breathing feel shallow.,On days like that a little room may help more than pushing harder.,It is enough if today ends a little lighter.
136,comparison,mid,any,any,比べる気持ちが強い日は自分の良さが見えにくくなります。,でも比べない時間が少しあるだけで見え方は変わることがあります。,今日は比べない時間を少し持てたら十分です。,On comparison heavy days your own good points may be hard to see.,Even a little time without comparison can change the view.,It is enough to have a short break from comparison today.
137,rest,any,any,any,休みながら進む形でもその日の流れは保てることがあります。,立ち止まる時間があるから無理を減らせる日もあります。,今日は小さな休みを入れながらで大丈夫です。,A day can still hold its rhythm even when it includes pauses.,Some days need stops in order to avoid extra strain.,It is okay to build in small rests today.
138,overthinking,mid,any,any,考えすぎる日は決める前から疲れてしまうことがあります。,そんな日は全部を決めなくてもよい日かもしれません。,今日はひとつだけ決められたら十分です。,Overthinking can make you tired before any decision is made.,Some days do not ask you to settle everything.,It is enough to decide one small thing today.
139,low_confidence,mid,any,any,自信が少ない日にもその日なりの進み方があります。,大きく見せようとしなくても静かな一歩には意味があります。,今日は小さな一歩で十分です。,Even low confidence days have their own way of moving forward.,A quiet step still matters without looking big.,A small step is enough today.
140,rest,any,any,any,今日は大きく進まなくても少し穏やかに終えられたら十分です。,目立たない整え方があとで支えになることもあります。,今日は今日のペースで大丈夫です。,Today does not need to be a big day if it ends a little calmer.,Quiet ways of caring can support you later.,Today can move at today’s pace.
141,restart,any,any,yes,また戻る日は少し緊張しやすいものです。,それでもここに来られたことが今日の小さな前進です。,今日は軽い形で残せたらそれで十分です。,Coming back can make you feel a little tense.,Still arriving here is a small step forward today.,A light entry is enough for today.
142,restart,low,any,yes,空白のあとでは自分を厳しく見やすくなります。,でも戻りたいと思えたこと自体にやさしい意味があります。,今日は責めるより戻れたことを受け取って大丈夫です。,After a gap it is easy to look at yourself harshly.,But the wish to return carries its own gentle meaning.,Today it is okay to receive the fact that you came back.
143,restart,mid,any,yes,再開の日はうまくやろうとして気持ちが重くなることがあります。,でも今日は前と同じ形でなくても大丈夫です。,今の自分に合う短さで置いていけたら十分です。,On restart days trying to do it well can feel heavy.,But today does not need the same shape as before.,A short form that fits you now is enough.
144,restart,any,any,yes,また始める日は前の流れをすぐ取り戻したくなることがあります。,でも流れは少しずつ戻ることもあります。,今日は一歩だけでも流れの始まりになります。,A new start can make you want your old rhythm back at once.,But rhythm can also return little by little.,One step today can begin that rhythm.
145,restart,low,any,yes,空白のぶんだけ恥ずかしさが混じる日もあります。,それでも戻りたい気持ちは大切にしてよさそうです。,今日は自分を叱るよりここに来たことを認めて大丈夫です。,Some return days carry a little embarrassment.,Still the wish to return is worth holding with care.,Today it is okay to notice that you came here.
146,restart,any,any,yes,戻る日はやる気より不安が先に出ることがあります。,不安があっても戻る力は残っています。,今日は先を考えすぎず今日の分だけで十分です。,On return days anxiety may come before motivation.,Even so the ability to return is still there.,Today only needs today’s small part.
147,restart,mid,any,yes,久しぶりに開く日は前より慎重になりやすいです。,その慎重さは丁寧に戻ろうとしている証でもあります。,今日は急がず小さく始めて大丈夫です。,After time away you may become more careful than before.,That carefulness can also mean you are returning with care.,Today it is okay to begin small and slowly.
148,restart,any,any,yes,再開の日は前の空白ばかり目につくことがあります。,でも今日の一歩にも同じくらい意味があります。,今日は戻れたことを小さく大事にしてみてください。,A restart can make the gap stand out too much.,But today’s step carries meaning too.,Try to hold today’s return gently.
149,restart,low,any,yes,また止まるかもしれないと思うと一歩が重くなることがあります。,でも一歩目を小さくすると続けやすいこともあります。,今日は短く終えても十分な再開です。,If you fear stopping again the first step may feel heavy.,A smaller first step can make continuing easier.,A short day is still enough for a restart.
150,restart,any,any,yes,戻る日は前より小さく感じることがあります。,それでも小さな再開は静かに力になります。,今日は大きく進まなくても戻れたことに意味があります。,Return days can make you feel smaller than before.,Even so a small restart can quietly become strength.,Coming back matters even without a big push.
151,restart,mid,any,yes,再開すると前の自分と比べたくなることがあります。,でも今の自分に合う形で戻ることにも価値があります。,今日は今のペースで十分です。,Restarting can make you compare yourself with your past self.,But returning in a way that fits you now has value too.,Today can move at your current pace.
152,restart,any,any,yes,空白のあとでは前の勢いをそのまま求めてしまいがちです。,でも勢いがなくても静かな再開には意味があります。,今日は軽く始められたら大丈夫です。,After a gap it is easy to expect your old momentum.,But a quiet return still matters without that energy.,A light beginning is enough today.
153,restart,low,any,yes,また始める日にはためらいが大きく感じられることがあります。,そのためらいの中で戻る選択をしたことは大切です。,今日は完璧よりも来られたことを一歩にしてください。,On begin again days hesitation can feel large.,Choosing to return within that hesitation still matters.,Let showing up count as your step today.
154,restart,any,any,yes,戻る日は前より丁寧にやりたくなることがあります。,その丁寧さが続けやすさにつながることもあります。,今日はゆるやかに置いていく形で大丈夫です。,On return days you may want to move more carefully than before.,That care can help things last.,Today it is okay to place things down gently.
155,restart,mid,any,yes,久しぶりの日は気持ちが整う前に行動だけが先になることもあります。,それでもその行動にはちゃんと意味があります。,今日は来られたことをそのまま一歩にして大丈夫です。,After time away action may come before your feelings are ready.,Even so that action still means something.,Showing up can be enough for today.
156,restart,any,any,yes,戻る日は前の失敗が思い出されやすくなります。,でも今日はその続きだけではなく新しい一日でもあります。,今日は今日の分だけ残して大丈夫です。,Return days can bring back old failures in your mind.,But today is also a new day and not only a continuation of that pain.,It is okay to leave only today’s piece.
157,restart,low,any,yes,空白のあとでは自信が小さく感じることがあります。,でも自信が十分でなくても戻ることはできます。,今日はひとつ残せたらそれで十分です。,After a gap confidence may feel small.,But you can return even without full confidence.,One small entry is enough today.
158,restart,any,any,yes,また開けた日は少しほっとする気持ちも混じることがあります。,そのほっとした感じも戻る力の一部です。,今日は無理を増やさず終えられたら十分です。,On the day you open this again there may also be a little relief.,That sense of relief is part of returning too.,It is enough if today ends without extra strain.
159,restart,mid,any,yes,再開の日は前より静かに始めたくなることがあります。,静かな再開でも流れは少しずつ戻っていきます。,今日は小さく始めて大丈夫です。,On restart days you may want a quieter beginning.,Even a quiet return can bring rhythm back little by little.,It is okay to begin small today.
160,restart,any,any,yes,戻るだけの日があっても大丈夫です。,進み具合よりここに来られたことを大切にしてみてください。,今日は戻れたことが十分な意味を持っています。,It is okay if today is simply a return.,Coming here may matter more than progress today.,Returning itself carries enough meaning today.
161,rest,any,low,any,眠れなかったあとは心も身体も揺れやすくなります。,そんな日はいつも通りにいかなくても自然です。,今日は整えることを優先して大丈夫です。,After poor sleep both mind and body can feel unsteady.,It is natural if things do not go as usual on such days.,Today it is okay to focus on steadying yourself.
162,fatigue,mid,low,any,寝不足の日は動き出す前から疲れがあることがあります。,その状態で過ごしているだけでも負荷は小さくありません。,今日は基準を少しやさしくして大丈夫です。,On tired days you may feel worn out before you even begin.,Living through that state already carries effort.,A softer standard is okay today.
163,rest,any,low,any,眠りが浅い日は少しのことでも重く感じやすいです。,そんな日は元気な形に無理に合わせなくても大丈夫です。,今日は少し小さく過ごせたら十分です。,Light sleep can make small things feel heavy.,You do not need to force yourself into an energetic shape today.,Keeping the day smaller is enough.
164,anxiety,low,low,any,寝不足の日は不安がいつもより大きく見えることがあります。,不安の大きさが現実の大きさと同じとは限りません。,今日は目の前を小さく整えるだけでも十分です。,Poor sleep can make worry look larger than usual.,The size of worry is not always the size of reality.,It is enough to keep your focus small today.
165,fatigue,mid,low,any,睡眠が足りない日は集中がまとまりにくいことがあります。,そんな日は結論を急がないほうが楽なこともあります。,今日はひとつずつ進める形で大丈夫です。,Low sleep can make focus hard to gather.,On those days it may help not to rush to conclusions.,Moving one thing at a time is okay today.
166,rest,any,low,any,眠れていない日はいつもの速さを求めると苦しくなりやすいです。,でも今日は少しゆるい基準のほうが合うこともあります。,無理を増やさない一日にできたら十分です。,When you have not slept enough your usual pace can feel painful.,A gentler standard may fit this day better.,It is enough if today does not add extra strain.
167,pressure,mid,low,any,寝不足でもいつも通りやらなければと思うと心が詰まりやすいです。,でも基準を少し下げることは逃げではなく調整です。,今日は必要なものだけ選んで大丈夫です。,Trying to do everything as usual while tired can tighten the mind.,Lowering the bar a little is adjustment not failure.,It is okay to choose only what is needed today.
168,rest,any,low,any,眠れなかった日は身体の声が大きく出やすくなります。,その声を無視しないことも大切な整え方です。,今日は小さな休みを入れながら進めて大丈夫です。,After a rough night your body may speak more loudly.,Listening to that is also a form of care.,It is okay to move with small pauses today.
169,fatigue,low,low,any,寝不足の日は気持ちまで狭く感じることがあります。,そんな日はできないことより消耗していることを先に思い出して大丈夫です。,今日は守るほうを優先してみてください。,Tired days can make your inner world feel narrow.,On such days remember your exhaustion before what you could not do.,Today it is okay to focus on protecting your energy.
170,overthinking,mid,low,any,眠れなかったあとは考えが多くなりやすいことがあります。,頭が散らかる日は全部を整理しようとしなくて大丈夫です。,今日は小さなことをひとつずつで十分です。,After poor sleep thoughts may multiply easily.,On scattered days you do not need to sort everything out.,One small thing at a time is enough today.
171,rest,any,low,any,回復が追いついていない感じが残る日は少しゆるく過ごしたほうが合うことがあります。,いつもと同じ形を求めなくて大丈夫です。,今日は消耗を減らせたら十分です。,Some days you may still feel not fully restored.,You do not need the same shape as usual today.,Reducing strain a little is enough.
172,anxiety,low,low,any,寝不足の日は先のことまで悪く見えやすくなります。,そんな日は未来を全部考えなくて大丈夫です。,今日は今日の終わりまでを静かに過ごせたら十分です。,Poor sleep can make the future look worse than usual.,On those days you do not need to think through all of tomorrow.,It is enough to get quietly to the end of today.
173,fatigue,mid,low,any,睡眠が足りない日は動き出す前から疲れていることがあります。,その状態で過ごすだけでも十分に負荷があります。,今日はやさしい基準で大丈夫です。,When sleep is short you may feel tired before you begin.,Living inside that state already takes effort.,A gentle standard is okay today.
174,rest,any,low,any,眠りが浅い日は小さなことでも負担が増えやすいです。,そんな日は少しでも楽な形を選ぶほうが合うことがあります。,今日は少し小さく終えられたら十分です。,Light sleep can make even small things feel more costly.,On those days a gentler shape may fit better.,It is enough if today ends a little smaller.
175,pressure,mid,low,any,寝不足なのに急ぎ続けると心と身体が追いつきにくくなります。,少し立ち止まる時間があるほうが整いやすい日もあります。,今日は余白を残して大丈夫です。,Rushing while tired can leave mind and body behind.,Some days go better when a little pause is allowed.,It is okay to leave room in today.
176,rest,any,low,any,眠れなかった日は休みながら進む形でも十分です。,止まりながらでも流れは保てることがあります。,今日は小さな休みを悪く思わなくて大丈夫です。,After poor sleep moving with pauses can still be enough.,A rhythm can still hold even with stops.,It is okay not to feel bad about resting today.
177,fatigue,low,low,any,寝不足の日は自分への評価まで低くなりやすいです。,でも動きにくさは怠けではなく身体の反応かもしれません。,今日は責めずに過ごせたら十分です。,Tired days can lower how you see yourself.,But difficulty moving may be your body responding not laziness.,It is enough if today passes without extra blame.
178,rest,mid,low,any,睡眠が足りない日は小さな回復を重ねるほうが合うことがあります。,一気に整わなくても大丈夫です。,今日は少し楽なほうを選べたら十分です。,Low sleep days may fit small bits of recovery better.,You do not need to recover all at once.,Choosing what feels a little easier is enough today.
179,anxiety,mid,low,any,眠れないあとの不安は広がりやすいことがあります。,そんな日は考える範囲を少し狭くするだけでも楽になることがあります。,今日は目の前に戻れたら十分です。,Worry after poor sleep can spread quickly.,Narrowing the frame may help on days like that.,It is enough to return to what is in front of you today.
180,rest,any,low,any,寝不足の日にもその日の過ごし方があります。,整わないままでも過ごせたならそれにも意味があります。,今日は無理の少ない形で終えられたら十分です。,Even a tired day has its own way to be lived.,Getting through it while still unsteady still matters.,It is enough if the day ends gently.
181,self_blame,low,any,any,気持ちが沈む日は自分の足りないところばかり見えやすくなります。,でもその見え方は今のつらさに引っぱられていることがあります。,今日は少し楽な見方をひとつ選べたら十分です。,Low days can make your flaws seem louder than everything else.,That view may be shaped by the weight you feel now.,It is enough to choose one gentler view today.
182,low_confidence,low,any,any,元気がない日は自分の力まで小さく感じることがあります。,それでも力そのものが消えたわけではありません。,今日は無理の少ない一歩があれば十分です。,When your mood is low your strength may feel small too.,Even so your strength itself has not disappeared.,One gentle step is enough today.
183,anxiety,low,any,any,沈んだ日はこの先もずっと同じように思えてしまうことがあります。,けれど気持ちは少しずつ動くこともあります。,今日は先を決めつけず静かに過ごせたら十分です。,On low days it can seem like this feeling will last forever.,But feelings can shift little by little.,It is enough to move quietly through today.
184,self_blame,low,any,any,つらい日は自分にだけ強い言葉を向けやすくなります。,そんな日は言葉の強さを少し下げるだけでも意味があります。,今日は責めすぎない一日にできたら十分です。,Hard days can make your inner voice especially sharp.,Softening that voice even a little already matters.,It is enough if today carries less blame.
185,lonely,low,any,any,気持ちが低い日はひとりの感じが深くなりやすいです。,でもその静けさの中で少し休める瞬間が見つかることもあります。,今日は安心できる時間を少し探せたら十分です。,Low mood can deepen the feeling of being alone.,Even so small moments of ease can still be found in quietness.,It is enough if you find one calm moment today.
186,comparison,low,any,any,落ち込む日は人との差が大きく見えやすくなります。,でも見えているのはその人の一部だけかもしれません。,今日は比べるより少し楽になるほうを選べたら十分です。,On low days the distance between you and others can feel huge.,But what you see may be only one part of their life.,It is enough to choose what eases you today.
187,low_confidence,low,any,any,元気がない日はできたことまで小さく見えやすいです。,それでも小さく見えることと意味がないことは同じではありません。,今日はひとつできたことを残せたら十分です。,On low days even what you did may look small.,But small does not mean meaningless.,It is enough to notice one real thing you did today.
188,anxiety,low,any,any,気分が落ちると未来の不安が広がりやすくなります。,そんな日は未来を全部考えなくて大丈夫です。,今日は今日の終わりまでを静かに過ごせたら十分です。,When your mood drops future worries can spread quickly.,On those days you do not need to think through all of tomorrow.,It is enough to get quietly to the end of today.
189,self_blame,low,any,any,気持ちが低い日は失敗の記憶が強く出やすいです。,でも思い出す強さと事実の重さは同じとは限りません。,今日は過去より今の負担を少し軽くすることを優先して大丈夫です。,Low mood can make old mistakes feel freshly heavy.,But the force of memory is not always the force of reality.,It is okay to focus on easing the present today.
190,rest,low,any,any,落ち込んでいる日は休んでも回復していないように感じることがあります。,それでも休みが無意味というわけではありません。,今日は回復を急がず少し消耗を減らせたら十分です。,On low days rest may not feel effective right away.,Even so that does not mean rest is useless.,It is enough if today carries a little less strain.
191,self_blame,low,any,any,つらい日は自分をすぐ結論づけたくなることがあります。,でも気持ちが低いときの見え方をそのまま全部信じなくて大丈夫です。,今日は判断を少し先に延ばせたら十分です。,Hard days can make you conclude harsh things about yourself too fast.,You do not need to believe every thought that comes with low mood.,It is enough to delay judgment a little today.
192,low_confidence,low,any,any,沈んだ日は始める前から小さく感じることがあります。,それでも小さいまま始めることにも意味があります。,今日は堂々としていなくてもひとつ動けたら十分です。,Low mood can make you feel small before you begin.,Even so starting while small still matters.,It is enough to move one thing today.
193,lonely,low,any,any,元気がない日は気持ちの置き場が少なく感じることがあります。,そんな日は無理に明るくならなくて大丈夫です。,今日は落ち着ける時間を大事にできたら十分です。,Low mood can make it feel like there is nowhere to place your feelings.,You do not need to force brightness on a day like this.,It is enough to protect a calm stretch of time today.
194,comparison,low,any,any,気分が低い日は人の進み方がまぶしく見えやすいです。,でもその速さだけでその人の全部はわかりません。,今日は自分のペースを守れたら十分です。,When mood is low other people can seem painfully bright and fast.,But speed never shows the whole picture.,It is enough to keep your own pace today.
195,anxiety,low,any,any,沈んだ日は心配ごとを広げすぎてしまうことがあります。,そんな日は考える範囲を少し狭くするだけでも楽になることがあります。,今日は目の前のことに戻れたら十分です。,Low mood can make worries spread too far.,Narrowing the frame may help on days like that.,It is enough to return to what is in front of you today.
196,self_blame,low,any,any,気持ちが低いと自分にやさしい言葉を向けにくくなります。,でも言葉を少し弱めるだけでも負担は変わります。,今日は強い言葉を減らせたら十分です。,When mood is low gentle words can be hard to find for yourself.,Even so lowering the harshness can change the burden.,It is enough if your inner voice becomes a little softer today.
197,rest,low,any,any,落ち込む日は何もしないような時間にも意味があります。,静かな時間が支えになる日もあります。,今日は少し休める時間が持てたら十分です。,On low days still time can still have meaning.,Quiet moments can support you on days like this.,It is enough if you have a little resting time today.
198,low_confidence,low,any,any,元気がない日はできることの幅まで狭く見えることがあります。,でも今日の自分に合う小ささで十分です。,今日は少しでも動けたらそれで大丈夫です。,Low mood can make your range of ability seem narrow.,But a small size that fits today is enough.,If you can move even a little today that is okay.
199,lonely,low,any,any,沈んだ日は静けさが冷たく感じることがあります。,それでもその静けさが少し休める場所になることもあります。,今日は安心できるものをひとつ近くに置けたら十分です。,On low days quiet can feel cold.,Even so quiet can also become a place to rest.,It is enough if you keep one comforting thing near today.
200,comparison,low,any,any,元気がない日は人と比べる目線から離れにくくなります。,でも比べない時間が少しあるだけでも心はゆるみやすくなります。,今日は比べない時間を少し持てたら十分です。,When mood is low comparison can be hard to step away from.,Even a short time without comparison can soften the mind.,It is enough if you have a little of that time today.
201,rest,any,any,any,毎日が同じように見えても心と身体は少しずつ変わっています。,その変化に気づこうとすること自体がやさしい整え方です。,今日は無理の少ない形を選べたら十分です。,Even when days look similar mind and body still change little by little.,Noticing that change is already a gentle form of care.,It is enough to choose the less straining shape today.
202,overthinking,mid,any,any,考えが多い日は動く前から疲れることがあります。,そんな日は全部を整理しようとしなくても大丈夫です。,今日はひとつだけ進めるつもりで十分です。,Busy thoughts can make you tired before you even move.,You do not need to sort everything out on days like that.,It is enough to move one thing today.
203,pressure,mid,any,any,やることが多い日は自分の余白がなくなったように感じます。,でも少し余白を残すほうが整いやすい日もあります。,今日は全部を埋めなくて大丈夫です。,When there is too much to do your inner room can disappear.,Some days go better when a little room is left open.,It is okay not to fill everything today.
204,comparison,mid,any,any,人の進み方を見て自分だけ遅れているように感じることがあります。,でも見えている速さだけではその人の全部はわかりません。,今日は自分のペースを守れたら十分です。,Seeing others move can make you feel behind.,But speed alone never shows the whole picture.,It is enough to keep your own pace today.
205,low_confidence,mid,any,any,自信がゆれる日は始める前から小さくなってしまうことがあります。,それでも小さいまま始めることにも意味があります。,今日はひとつ動けたら十分です。,On shaky days you may feel small before you begin.,Even so starting while small still matters.,It is enough to move one thing today.
206,lonely,mid,any,any,静かな日は気持ちの置き場が少なく感じることがあります。,でもその静けさが少し休める場所になることもあります。,今日は落ち着ける時間を大事にして大丈夫です。,Quiet days can make it feel like there is nowhere to place your feelings.,Still quiet can also become a place to rest.,It is okay to protect a calm stretch of time today.
207,anxiety,mid,any,any,不安がある日は先のことを広げすぎることがあります。,そんな日は先を縮めて考えるだけでも少し楽になることがあります。,今日は目の前のひとつに戻れたら十分です。,Anxious days can stretch your thoughts too far ahead.,Bringing the frame closer can make things a little easier.,It is enough to return to one thing in front of you today.
208,rest,any,any,any,うまく進まない日は立ち止まることに迷いが出ることがあります。,でも立ち止まる時間があるから保てる流れもあります。,今日は止まりながら進む形でも大丈夫です。,On difficult days pausing may feel uncertain.,But some rhythms stay steady because pauses are allowed.,It is okay to move with pauses today.
209,overthinking,any,any,any,全部をきちんと考えようとすると心が先に疲れることがあります。,そんな日は答えを急がないことも整え方のひとつです。,今日は決めきれないままでも大丈夫です。,Trying to think through everything can tire the mind first.,Not rushing the answer is also a kind of care on days like that.,It is okay if today stays a little unresolved.
210,rest,any,any,any,今日は特別なことがなくても静かに過ごせたならそれにも意味があります。,目立たない一日が心と身体を支えることもあります。,大きな変化がなくても今日は今日のままで十分です。,Even if nothing special happens a quiet day still has meaning.,Unremarkable days can support both mind and body.,Today can be enough as it is.
